,image_id,actual_left,actual_right,predicted_left,predicted_right,left_wing_center (mm),right_wing_center (mm),wing_span (mm),wing_shoulder (mm),position,gender,prob_upside_down,prob_female,prob_male,left_diff,right_diff,left_SD,right_SD,is_outlier
11,IMG_2036.JPG,60.25,56.44,45.28,42.97,47.57,47.69,92.76,5.4,,,N,/,A,-14.969999999999999,-13.469999999999999,-4.056937494504366,-3.6041808871881664,TRUE
12,IMG_2119.JPG,48.26,49.59,51.01,49.23,55.84,55.86,96.95,1.92,,,N,/,A,2.75,-0.36000000000000654,1.2916272265910036,0.3529118607554148,
9,IMG_1172.JPG,39.91,40.39,40.84,40.18,50.64,50.47,68.01,3.59,,,N,/,A,0.9300000000000068,-0.21000000000000085,0.7422825430473503,0.39818752148703646,
13,IMG_2338.JPG,41.88,42.97,38.21,38.31,49.54,49.39,74.17,7.73,,,N,/,A,-3.6700000000000017,-4.659999999999997,-0.6461710527223307,-0.9449904135510208,
8,IMG_0317.JPG,44.4,44.91,44.84,42.26,54.68,55.13,76.04,3.96,,,N,/,A,0.44000000000000483,-2.6499999999999986,0.594382051324058,-0.338296559747314,
2,IMG_0067.JPG,43.83,41.38,40.4,40.61,49.98,49.51,71.8,5.42,,,N,/,A,-3.4299999999999997,-0.7700000000000031,-0.5737299955517381,0.22915838808898797,
10,IMG_1759.JPG,43.59,43.33,43.96,42.63,52.0,51.92,75.77,4.96,,,N,/,A,0.36999999999999744,-0.6999999999999957,0.5732534096492997,0.25028702976374617,
14,IMG_3153.JPG,41.69,41.24,41.98,40.67,49.11,49.56,72.5,4.03,,,N,/,A,0.28999999999999915,-0.5700000000000003,0.5491063905924363,0.28952593573114876,
4,IMG_0114.JPG,46.44,45.7,46.26,46.77,55.47,55.9,81.0,4.33,,,N,/,A,-0.17999999999999972,1.0700000000000003,0.40724265363336076,0.7845398263968603,
3,IMG_0094.JPG,33.74,32.42,33.36,31.47,38.23,38.14,58.38,3.7,,,N,/,A,-0.38000000000000256,-0.9500000000000028,0.3468751059912,0.17482759521104413,
16,IMG_4398.JPG,38.6,39.1,38.15,39.11,45.99,45.43,73.78,4.52,,,N,/,A,-0.45000000000000284,0.00999999999999801,0.32574646431644394,0.464591823893412,
18,IMG_5765.JPG,49.39,49.46,48.86,48.83,56.83,57.29,88.43,5.31,,,N,/,A,-0.5300000000000011,-0.6300000000000026,0.3015994452595805,0.2714156714385001,
7,IMG_0310.JPG,42.25,43.09,41.72,43.02,50.17,50.01,84.19,5.48,,,N,/,A,-0.5300000000000011,-0.07000000000000028,0.3015994452595805,0.4404448048365486,
5,IMG_0134.JPG,46.92,46.91,46.14,45.87,55.39,55.38,80.66,5.7,,,N,/,A,-0.7800000000000011,-1.0399999999999991,0.22614001070688056,0.14766219877207326,
15,IMG_3872.JPG,53.13,53.31,52.26,52.93,63.29,63.66,85.66,4.74,,,N,/,A,-0.8700000000000045,-0.38000000000000256,0.19897461426790758,0.3468751059912,
0,IMG_0001.JPG,44.8,44.7,43.83,45.08,52.93,53.04,81.48,5.48,,,N,/,A,-0.9699999999999989,0.37999999999999545,0.16879084044682932,0.5762717870314071,
1,IMG_0023.JPG,40.01,40.92,38.07,38.44,46.53,46.39,73.22,7.09,,,N,/,A,-1.9399999999999977,-2.480000000000004,-0.123991765617646,-0.28698414425147967,
6,IMG_0169.JPG,44.1,43.71,42.97,43.4,51.13,50.9,77.38,5.4,,,N,/,A,-1.1300000000000026,-0.3100000000000023,0.12049680233310027,0.36800374766595606,
17,IMG_4874.JPG,43.55,48.09,42.29,44.08,50.83,51.32,82.44,6.33,,,N,/,A,-1.259999999999998,-4.010000000000005,0.08125789636569769,-0.7487958837140035,
