image_folder,image,folder,voucher_prefix,imag_numbers,IMG_,Dorsal,Ventral,.JPG,image_path1,image_path2,status,family,subfamily,tribe,subtribe,genus,species,genus_species,subspecies,voucher,number_specimens,sex,country,ADM1,ADM2,site_specific,locality_general,elev_min,elev_max,elev_unit,lat_deg,lat_min,lat_sec,lat_ort,lon_deg,lon_min,lon_sec,lon_ort,Date,Day,month_,Year,collector,genitalia_dissection,collection,record_status,comments_public,comments_private,databaser,DNA_voucher,other_prep,Full Path Merged 1,Full Path Merged 2,,,,,,,Image_quality,Reason why,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,691,170",IMG_,1169,1170,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1169.JPG,Battus philenor/Kailee Stover/20230410/IMG_1170.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142796,1,male,USA,Virginia,N/A,Blacksburg,Montgomery Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,9,Aug,1975,"Zalias, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1169.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1170.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,711,172",IMG_,1171,1172,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1171.JPG,Battus philenor/Kailee Stover/20230410/IMG_1172.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142797,1,male,USA,Virginia,N/A,Poverty Hollow,Montgomery Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,17,Jul,1978,"Zalias, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1171.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1172.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,731,174",IMG_,1173,1174,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1173.JPG,Battus philenor/Kailee Stover/20230410/IMG_1174.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142798,1,male,USA,Virginia,N/A,"Highway 160, Inman",Wise Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,21,Jul,1978,"Hyatt, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1173.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1174.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,751,176",IMG_,1175,1176,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1175.JPG,Battus philenor/Kailee Stover/20230410/IMG_1176.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142799,1,male,USA,Virginia,N/A,Poverty Hollow,Montgomery Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,17,Jul,1978,N/A,N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1175.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1176.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,771,178",IMG_,1177,1178,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1177.JPG,Battus philenor/Kailee Stover/20230410/IMG_1178.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142800,1,male,USA,Virginia,N/A,Poverty Hollow,Montgomery Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,17,Jul,1978,"Zalias, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1177.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1178.JPG,,,,,,,No,Damage to lower wing tips,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,791,180",IMG_,1179,1180,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1179.JPG,Battus philenor/Kailee Stover/20230410/IMG_1180.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142801,1,male,USA,North Carolina,N/A,jet I-85 & Ca Rd 114,Orange Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,21,Aug,1969,N/A,N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1179.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1180.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,811,182",IMG_,1181,1182,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1181.JPG,Battus philenor/Kailee Stover/20230410/IMG_1182.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142802,1,female,USA,North Carolina,N/A,Jet I-35 & Co Rd 114,Orange Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,21,Aug,1969,N/A,N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1181.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1182.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,831,184",IMG_,1183,1184,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1183.JPG,Battus philenor/Kailee Stover/20230410/IMG_1184.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142803,1,male,USA,North Carolina,N/A,Sylva,Jackson Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,5,Jun,1978,"Zalias, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1183.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1184.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,851,186",IMG_,1185,1186,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1185.JPG,Battus philenor/Kailee Stover/20230410/IMG_1186.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142804,1,male,USA,North Carolina,N/A,Sylva,Jackson Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,20,Jul,1978,N/A,N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1185.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1186.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,871,188",IMG_,1187,1188,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1187.JPG,Battus philenor/Kailee Stover/20230410/IMG_1188.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142805,1,male,USA,North Carolina,N/A,Sylva,Jackson Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,5,Jun,1978,"Zalias, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1187.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1188.JPG,,,,,,,Yes,N/A,,,,,,
